date,equity,spy_norm
2023-07-03,1000000.0,1000000.0
2023-07-05,1000000.0,998512.9
2023-07-06,997422.83,990694.05
2023-07-07,996493.64,988192.59
2023-07-10,998765.68,990694.05
2023-07-11,1001432.25,997003.18
2023-07-12,1008464.57,1005024.89
2023-07-13,1011054.77,1013001.71
2023-07-14,1009091.85,1012370.87
2023-07-17,1009421.12,1015886.04
2023-07-18,1012301.62,1023434.59
2023-07-19,1008646.23,1025710.41
2023-07-20,989841.32,1018905.34
2023-07-21,981657.19,1018905.34
2023-07-24,985255.46,1023457.07
2023-07-25,991728.13,1026251.25
2023-07-26,992060.52,1026408.99
2023-07-27,981913.0,1019603.92
2023-07-28,1000118.38,1029586.33
2023-07-31,1002522.58,1031546.59
2023-08-01,999260.83,1028594.74
2023-08-02,975748.53,1014286.16
2023-08-03,978629.58,1011379.21
2023-08-04,976169.48,1006805.07
2023-08-07,988936.62,1015593.03
2023-08-08,984380.87,1011176.5
2023-08-09,972044.87,1004416.68
2023-08-10,971795.31,1004777.21
2023-08-11,974782.18,1004191.27
2023-08-14,977248.92,1009734.3
2023-08-15,968515.44,997972.21
2023-08-16,966588.22,990648.93
2023-08-17,967672.51,983100.24
2023-08-18,965519.74,983573.34
2023-08-21,981174.67,989972.84
2023-08-22,979116.02,987291.3
2023-08-23,986720.8,998287.56
2023-08-24,982055.2,984452.22
2023-08-25,982196.92,991392.27
2023-08-28,987321.43,997679.2
2023-08-29,997557.61,1012100.42
2023-08-30,1003030.74,1016268.98
2023-08-31,1004014.66,1014781.74
2023-09-01,1002629.12,1016674.7
2023-09-05,1001806.63,1012280.72
2023-09-06,994053.23,1005475.72
2023-09-07,994102.33,1002388.68
2023-09-08,993432.32,1003898.26
2023-09-11,995309.18,1010500.61
2023-09-12,995119.63,1004957.37
2023-09-13,1001131.9,1006129.05
2023-09-14,1008054.93,1014804.37
2023-09-15,1009208.66,1002577.69
2023-09-18,1010908.86,1003165.63
2023-09-19,1004076.04,1001085.31
2023-09-20,999953.1,991882.0
2023-09-21,991562.78,975487.74
2023-09-22,998200.82,973294.36
2023-09-25,1006043.15,977387.12
2023-09-26,1001524.72,963028.22
2023-09-27,1000122.45,963412.59
2023-09-28,1004277.34,968997.81
2023-09-29,996435.0,966646.18
2023-10-02,990678.11,966261.59
2023-10-03,986382.89,953327.26
2023-10-04,991232.11,960269.45
2023-10-05,990938.78,959907.56
2023-10-06,995270.29,971304.4
2023-10-09,996719.81,977522.95
2023-10-10,996098.6,982610.66
2023-10-11,1000395.58,986635.83
2023-10-12,997669.0,980620.85
2023-10-13,994890.56,975736.5
2023-10-16,997893.34,986002.42
2023-10-17,998963.25,985957.31
2023-10-18,994614.51,972819.33
2023-10-19,996119.78,964271.7
2023-10-20,992409.53,952422.9
2023-10-23,993962.69,950772.06
2023-10-24,997949.06,957940.23
2023-10-25,975169.83,944191.61
2023-10-26,971024.32,932885.42
2023-10-27,971024.32,928656.83
2023-10-30,971024.32,939759.73
2023-10-31,971024.32,945661.58
2023-11-01,971024.32,955746.84
2023-11-02,971024.32,974063.24
2023-11-03,971024.32,982950.06
2023-11-06,971024.32,985211.19
2023-11-07,971024.32,988015.14
2023-11-08,971024.32,988738.71
2023-11-09,971024.32,981027.85
2023-11-10,971024.32,996336.58
2023-11-13,971024.32,995387.03
2023-11-14,971024.32,1014698.16
2023-11-15,971024.32,1016846.29
2023-11-16,971024.32,1018090.06
2023-11-17,971024.32,1019356.38
2023-11-20,971024.32,1027202.94
2023-11-21,971024.32,1024964.15
2023-11-22,967013.99,1028921.44
2023-11-24,963767.67,1029554.57
2023-11-27,965377.02,1027700.3
2023-11-28,963923.07,1028717.87
2023-11-29,965024.77,1027994.38
2023-11-30,960293.41,1032041.96
2023-12-01,959252.6,1038147.45
2023-12-04,955767.26,1032697.71
2023-12-05,955767.26,1032494.14
2023-12-06,955767.26,1028333.5
2023-12-07,955767.26,1036180.12
2023-12-08,955767.26,1040634.92
2023-12-11,955767.26,1044682.43
2023-12-12,961157.09,1049453.78
2023-12-13,961453.44,1063925.89
2023-12-14,961064.75,1067340.42
2023-12-15,957434.04,1065583.08
2023-12-18,968072.53,1071577.01
2023-12-19,961828.71,1078093.07
2023-12-20,957140.3,1063153.79
2023-12-21,961073.15,1073234.41
2023-12-22,962256.61,1075391.32
2023-12-26,963121.71,1079932.2
2023-12-27,963130.95,1081884.69
2023-12-28,963203.22,1082293.4
2023-12-29,959919.53,1079160.17
2024-01-02,953299.72,1073120.92
2024-01-03,953371.53,1064356.94
2024-01-04,951140.36,1060928.64
2024-01-05,951495.7,1062381.83
2024-01-08,960622.35,1077548.24
2024-01-09,965534.62,1075913.67
2024-01-10,979167.76,1081998.18
2024-01-11,980067.43,1081521.58
2024-01-12,983265.88,1082270.63
2024-01-16,984872.23,1078297.35
2024-01-17,982279.11,1072303.57
2024-01-18,993040.25,1081839.29
2024-01-19,1007440.29,1095325.8
2024-01-22,1004108.98,1097641.6
2024-01-23,1011717.11,1100842.85
2024-01-24,1022868.24,1102046.36
2024-01-25,1025584.88,1108040.22
2024-01-26,1025668.33,1106632.56
2024-01-29,1038697.82,1115396.26
2024-01-30,1038573.04,1114533.58
2024-01-31,1011316.15,1096347.44
2024-02-01,1030322.43,1110696.56
2024-02-02,1087208.53,1122389.19
2024-02-05,1089398.44,1118302.57
2024-02-06,1081477.29,1121549.28
2024-02-07,1100017.43,1130903.49
2024-02-08,1089469.02,1131403.0
2024-02-09,1100037.47,1137941.9
2024-02-12,1098602.46,1137442.25
2024-02-13,1089458.75,1121776.2
2024-02-14,1104404.66,1131970.6
2024-02-15,1101253.38,1139780.89
2024-02-16,1091489.84,1134104.81
2024-02-20,1078087.34,1127861.13
2024-02-21,1069322.46,1128882.77
2024-02-22,1105944.34,1152245.48
2024-02-23,1104746.12,1153040.13
2024-02-26,1103439.42,1148817.1
2024-02-27,1106469.31,1150951.32
2024-02-28,1104740.38,1149430.1
2024-02-29,1108226.78,1153562.48
2024-03-01,1115170.94,1164392.36
2024-03-04,1112825.79,1163143.6
2024-03-05,1108278.1,1151519.06
2024-03-06,1111627.57,1157353.96
2024-03-07,1120814.18,1168842.52
2024-03-08,1117253.67,1161826.81
2024-03-11,1103452.69,1160827.8
2024-03-12,1121829.45,1173315.3
2024-03-13,1117915.6,1171476.09
2024-03-14,1111390.84,1169160.15
2024-03-15,1106820.54,1161132.3
2024-03-18,1115091.53,1168032.87
2024-03-19,1116075.69,1174523.81
2024-03-20,1122823.54,1185387.52
2024-03-21,1125687.02,1189304.62
2024-03-22,1130982.01,1187050.0
2024-03-25,1128302.26,1183770.23
2024-03-26,1120593.37,1181583.84
2024-03-27,1115988.36,1191513.86
2024-03-28,1111421.9,1191286.16
2024-04-01,1114724.67,1189213.47
2024-04-02,1116801.0,1181652.51
2024-04-03,1121419.72,1182950.38
